周期,样本数,Base区间命中率%,Event区间命中率%,命中率改善%,Base平均宽度%,Event平均宽度%
T+1,70,57.1,57.1,0.0,1.66,1.67
T+2,70,60.0,60.0,0.0,2.81,2.81
T+3,70,74.3,74.3,0.0,3.96,3.96
T+4,70,75.7,75.7,0.0,5.17,5.17
T+5,70,74.3,74.3,0.0,6.42,6.27
