date,bear_close,base_close,bull_close,base_low,base_high,bull_driver,bear_driver,calendar_score,active_events
2026-03-31,1006.3,1027.16,1056.96,1006.92,1047.39,地缘风险、事件窗口前置,模型中枢下方波动,0.793,"[{'event_name': 'Middle East Risk Window', 'event_type': 'geopolitics', 'event_date': '2026-03-31', 'phase': 'pre', 'pre_bias': 0.6, 'post_bias': -0.15, 'importance': 0.8, 'notes': 'Seed row for current geopolitical premium window'}, {'event_name': 'Tariff Decision Window', 'event_type': 'policy', 'event_date': '2026-04-02', 'phase': 'pre', 'pre_bias': 0.85, 'post_bias': -0.3, 'importance': 1.0, 'notes': 'Seed row for current scenario: event window before decision and sell-the-news after'}]"
2026-04-01,990.67,1028.68,1072.47,992.53,1064.83,地缘风险、事件窗口前置,模型中枢下方波动,0.421,"[{'event_name': 'Middle East Risk Window', 'event_type': 'geopolitics', 'event_date': '2026-03-31', 'phase': 'post', 'pre_bias': 0.6, 'post_bias': -0.15, 'importance': 0.8, 'notes': 'Seed row for current geopolitical premium window'}, {'event_name': 'Tariff Decision Window', 'event_type': 'policy', 'event_date': '2026-04-02', 'phase': 'pre', 'pre_bias': 0.85, 'post_bias': -0.3, 'importance': 1.0, 'notes': 'Seed row for current scenario: event window before decision and sell-the-news after'}]"
2026-04-02,977.94,1025.31,1080.61,979.53,1071.08,地缘风险、事件窗口前置,模型中枢下方波动,0.776,"[{'event_name': 'Middle East Risk Window', 'event_type': 'geopolitics', 'event_date': '2026-03-31', 'phase': 'post', 'pre_bias': 0.6, 'post_bias': -0.15, 'importance': 0.8, 'notes': 'Seed row for current geopolitical premium window'}, {'event_name': 'Tariff Decision Window', 'event_type': 'policy', 'event_date': '2026-04-02', 'phase': 'pre', 'pre_bias': 0.85, 'post_bias': -0.3, 'importance': 1.0, 'notes': 'Seed row for current scenario: event window before decision and sell-the-news after'}]"
2026-04-03,972.77,1034.86,1096.95,975.54,1094.19,地缘风险,卖事实风险、事件落地回吐,-0.26,"[{'event_name': 'Middle East Risk Window', 'event_type': 'geopolitics', 'event_date': '2026-03-31', 'phase': 'post', 'pre_bias': 0.6, 'post_bias': -0.15, 'importance': 0.8, 'notes': 'Seed row for current geopolitical premium window'}, {'event_name': 'Tariff Decision Window', 'event_type': 'policy', 'event_date': '2026-04-02', 'phase': 'post', 'pre_bias': 0.85, 'post_bias': -0.3, 'importance': 1.0, 'notes': 'Seed row for current scenario: event window before decision and sell-the-news after'}, {'event_name': 'USD Rebound Risk', 'event_type': 'macro', 'event_date': '2026-04-03', 'phase': 'pre', 'pre_bias': 0.0, 'post_bias': -0.55, 'importance': 0.75, 'notes': 'Seed row for post-event dollar rebound / risk normalization pressure'}]"
