周期,样本数,MAE(元/克),MAPE%,方向准确率%,平均信心度
T+1,5,13.37,1.37,80.0,55.5
T+2,5,18.11,1.85,20.0,47.4
T+3,5,21.17,2.17,20.0,43.0
T+4,5,35.54,3.62,20.0,45.3
T+5,5,27.76,2.83,20.0,43.5
T+6,5,12.36,1.26,80.0,33.7
T+7,5,18.32,1.87,80.0,31.6
T+8,5,27.95,2.84,80.0,30.9
T+9,5,34.82,3.54,60.0,28.9
T+10,5,40.97,4.18,60.0,28.0
