周期,样本数,MAE(元/克),MAPE%,方向准确率%,平均信心度
T+1,3,12.29,1.24,100.0,46.5
T+2,3,13.41,1.36,66.7,44.2
T+3,3,5.17,0.52,33.3,37.0
T+4,3,17.86,1.81,33.3,39.5
T+5,3,14.33,1.45,33.3,28.1
T+6,3,14.76,1.49,0.0,19.6
T+7,3,11.22,1.14,0.0,21.1
T+8,3,7.36,0.74,66.7,21.3
T+9,3,10.16,1.03,66.7,20.9
T+10,3,11.98,1.21,100.0,20.9
