周期,样本数,MAE(元/克),MAPE%,方向准确率%,平均信心度
T+1,10,7.98,0.82,70.0,46.0
T+2,10,19.56,2.01,60.0,35.7
T+3,10,25.1,2.57,60.0,32.4
T+4,10,29.83,3.05,80.0,30.1
T+5,10,35.98,3.67,60.0,31.8
T+6,10,39.5,4.02,60.0,24.5
T+7,10,34.47,3.48,40.0,22.7
T+8,10,33.13,3.36,50.0,18.2
T+9,10,36.42,3.7,30.0,17.9
T+10,10,31.44,3.16,40.0,17.0
