origin_date,target_date,horizon,origin_close,pred_close,actual_close,pred_delta,actual_delta,confidence,abs_error,ape_pct,dir_match,direction,regime,pre_guard_return_pct,pred_return_pct,direction_guard,confidence_guard,up_probability,trend_regime_code,trend_signal,jump_regime_code,jump_signal,branch_name,branch_used
2026-08-17,2026-08-31,10,955.72,954.34,961.92,-1.38,6.2,21.4,7.58,0.788007,False,跌,normal,2.351,-0.17,long_low_confidence_fragility_guard,direction_guard_dampen,0.9404,1.0,0.216,0.0,0.617,trend_up,True
2026-08-18,2026-08-31,9,956.4,957.3,961.92,0.9,5.52,10.6,4.62,0.480289,True,涨,normal,0.553,0.111,low_confidence_decay,direction_guard_dampen,0.3994,1.0,0.392,0.0,0.604,trend_up,True
2026-08-18,2026-09-01,10,956.4,957.69,959.94,1.29,3.54,8.4,2.25,0.23439,True,涨,normal,0.792,0.158,low_confidence_decay,direction_guard_dampen,0.4375,1.0,0.392,0.0,0.604,trend_up,True
2026-08-19,2026-08-31,8,945.56,944.04,961.92,-1.52,16.36,21.1,17.88,1.858782,False,跌,normal,1.532,-0.19,bearish_guard,direction_guard_dampen,0.8795,-1.0,0.216,0.0,0.81,trend_down,True
2026-08-19,2026-09-01,9,945.56,943.94,959.94,-1.62,14.38,20.8,16.0,1.666771,False,跌,normal,1.153,-0.201,bearish_guard,direction_guard_dampen,0.8977,-1.0,0.216,0.0,0.81,trend_down,True
2026-08-19,2026-09-02,10,945.56,943.86,938.22,-1.7,-7.34,16.6,5.64,0.601138,True,跌,normal,3.034,-0.212,bearish_guard,direction_guard_dampen,0.7981,-1.0,0.216,0.0,0.81,trend_down,True
2026-08-20,2026-08-31,7,972.94,974.6,961.92,1.66,-11.02,18.1,12.68,1.318197,False,涨,normal,0.573,0.2,low_confidence_decay,direction_guard_dampen,0.7902,1.0,0.305,0.0,0.786,trend_up,True
2026-08-20,2026-09-01,8,972.94,973.65,959.94,0.71,-13.0,8.6,13.71,1.428214,False,涨,normal,0.43,0.086,low_confidence_decay,direction_guard_dampen|tiny_edge_confidence_dampen,0.8366,1.0,0.305,0.0,0.786,trend_up,True
2026-08-20,2026-09-02,9,972.94,976.23,938.22,3.29,-34.72,21.5,38.01,4.051289,False,涨,normal,1.988,0.398,low_confidence_decay,direction_guard_dampen,0.8995,1.0,0.305,0.0,0.786,trend_up,True
2026-08-20,2026-09-03,10,972.94,977.59,958.38,4.65,-14.56,20.4,19.21,2.004424,False,涨,normal,2.814,0.563,low_confidence_decay,direction_guard_dampen,0.903,1.0,0.305,0.0,0.786,trend_up,True
