origin_date,target_date,horizon,origin_close,pred_close,actual_close,pred_delta,actual_delta,confidence,abs_error,ape_pct,dir_match,direction,regime,pre_guard_return_pct,pred_return_pct,direction_guard,confidence_guard,up_probability,trend_regime_code,trend_signal,jump_regime_code,jump_signal,branch_name,branch_used
2026-05-15,2026-05-29,10,1004.38,1002.05,989.4,-2.33,-14.98,21.5,12.65,1.278553,True,跌,low,6.365,-0.232,bearish_guard,direction_guard_dampen,0.9943,-1.0,0.526,0.0,0.693,trend_down,True
2026-05-18,2026-05-29,9,999.8,997.53,989.4,-2.27,-10.4,21.2,8.13,0.82171,True,跌,low,6.069,-0.227,bearish_guard,direction_guard_dampen,0.9853,-1.0,0.705,0.0,0.541,trend_down,True
2026-05-18,2026-06-01,10,999.8,997.41,983.58,-2.39,-16.22,21.2,13.83,1.406088,True,跌,low,6.501,-0.239,bearish_guard,direction_guard_dampen,0.9937,-1.0,0.705,0.0,0.541,trend_down,True
2026-05-19,2026-05-29,8,1002.18,1000.28,989.4,-1.9,-12.78,20.7,10.88,1.099656,True,跌,low,2.63,-0.19,bearish_guard,direction_guard_dampen,0.9713,0.0,0.18,0.0,0.735,normal,True
2026-05-19,2026-06-01,9,1002.18,1000.16,983.58,-2.02,-18.6,20.2,16.58,1.685679,True,跌,low,3.456,-0.201,bearish_guard,direction_guard_dampen,0.9547,0.0,0.18,0.0,0.735,normal,True
2026-05-19,2026-06-02,10,1002.18,1000.05,990.6,-2.13,-11.58,20.1,9.45,0.953967,True,跌,low,4.979,-0.212,bearish_guard,direction_guard_dampen,0.9697,0.0,0.18,0.0,0.735,normal,True
2026-05-20,2026-05-29,7,986.64,985.05,989.4,-1.59,2.76,21.9,4.35,0.43966,False,跌,normal,6.81,-0.189,bearish_guard,direction_guard_dampen,0.9885,-1.0,0.362,0.0,0.507,trend_down,True
2026-05-20,2026-06-01,8,986.64,984.95,983.58,-1.69,-3.06,21.7,1.37,0.139287,True,跌,normal,5.819,-0.202,bearish_guard,direction_guard_dampen,0.9924,-1.0,0.362,0.0,0.507,trend_down,True
2026-05-20,2026-06-02,9,986.64,984.84,990.6,-1.8,3.96,21.2,5.76,0.581466,False,跌,normal,5.952,-0.214,bearish_guard,direction_guard_dampen,0.9859,-1.0,0.362,0.0,0.507,trend_down,True
2026-05-20,2026-06-03,10,986.64,984.75,977.08,-1.89,-9.56,20.7,7.67,0.784992,True,跌,normal,8.007,-0.226,bearish_guard,direction_guard_dampen,0.997,-1.0,0.362,0.0,0.507,trend_down,True
2026-05-21,2026-05-29,6,995.38,1006.11,989.4,10.73,-5.98,24.8,16.71,1.688902,False,涨,normal,3.624,1.269,low_confidence_decay,direction_guard_dampen,0.9832,0.0,0.181,0.0,0.476,normal,True
2026-05-21,2026-06-01,7,995.38,1005.4,983.58,10.02,-11.8,21.4,21.82,2.218427,False,涨,normal,3.384,1.184,low_confidence_decay,direction_guard_dampen,0.983,0.0,0.181,0.0,0.476,normal,True
2026-05-21,2026-06-02,8,995.38,1000.42,990.6,5.04,-4.78,21.4,9.82,0.991318,False,涨,normal,2.976,0.595,low_confidence_decay,direction_guard_dampen,0.9906,0.0,0.181,0.0,0.476,normal,True
2026-05-21,2026-06-03,9,995.38,1001.94,977.08,6.56,-18.3,21.0,24.86,2.544316,False,涨,normal,3.878,0.776,low_confidence_decay,direction_guard_dampen,0.9886,0.0,0.181,0.0,0.476,normal,True
2026-05-21,2026-06-04,10,995.38,1003.25,977.94,7.87,-17.44,20.0,25.31,2.588093,False,涨,normal,4.65,0.93,low_confidence_decay,direction_guard_dampen,0.9834,0.0,0.181,0.0,0.476,normal,True
2026-05-22,2026-05-29,5,995.76,1009.6,989.4,13.84,-6.36,42.6,20.2,2.041641,False,涨,normal,1.635,1.635,none,none,0.9658,1.0,0.361,0.0,0.597,trend_up,True
2026-05-22,2026-06-01,6,995.76,999.61,983.58,3.85,-12.18,23.9,16.03,1.629761,False,涨,normal,1.3,0.455,low_confidence_decay,direction_guard_dampen,0.9603,1.0,0.361,0.0,0.597,trend_up,True
2026-05-22,2026-06-02,7,995.76,998.09,990.6,2.33,-5.16,20.0,7.49,0.756107,False,涨,normal,0.785,0.275,low_confidence_decay,direction_guard_dampen,0.9421,1.0,0.361,0.0,0.597,trend_up,True
2026-05-22,2026-06-03,8,995.76,997.85,977.08,2.09,-18.68,18.6,20.77,2.125722,False,涨,normal,1.236,0.247,low_confidence_decay,direction_guard_dampen,0.9152,1.0,0.361,0.0,0.597,trend_up,True
2026-05-22,2026-06-04,9,995.76,999.81,977.94,4.05,-17.82,15.7,21.87,2.236334,False,涨,normal,2.392,0.478,low_confidence_decay,direction_guard_dampen,0.8397,1.0,0.361,0.0,0.597,trend_up,True
2026-05-22,2026-06-05,10,995.76,1001.0,974.02,5.24,-21.74,18.2,26.98,2.769964,False,涨,normal,3.096,0.619,low_confidence_decay,direction_guard_dampen,0.9385,1.0,0.361,0.0,0.597,trend_up,True
2026-05-25,2026-05-29,4,1001.4,1004.52,989.4,3.12,-12.0,24.5,15.12,1.528199,False,涨,normal,0.367,0.367,none,none,0.3614,1.0,0.579,0.0,0.704,trend_up,True
