origin_date,target_date,horizon,origin_close,pred_close,actual_close,pred_delta,actual_delta,confidence,abs_error,ape_pct,dir_match,direction,regime,pre_guard_return_pct,pred_return_pct,direction_guard,confidence_guard,up_probability,trend_regime_code,trend_signal,jump_regime_code,jump_signal,branch_name,branch_used
2026-05-11,2026-05-25,10,1026.8,1024.47,1001.4,-2.33,-25.4,22.9,23.07,2.303775,True,跌,low,5.299,-0.227,bearish_guard,direction_guard_dampen,0.9937,-1.0,0.381,0.0,0.522,trend_down,True
2026-05-12,2026-05-25,9,1030.12,1037.97,1001.4,7.85,-28.72,16.7,36.57,3.651887,False,涨,low,3.808,0.762,low_confidence_decay,direction_guard_dampen,0.1836,0.0,0.198,0.0,0.609,normal,True
2026-05-12,2026-05-26,10,1030.12,1039.64,995.0,9.52,-35.12,14.6,44.64,4.486432,False,涨,low,4.619,0.924,low_confidence_decay,direction_guard_dampen,0.2355,0.0,0.198,0.0,0.609,normal,True
2026-05-13,2026-05-25,8,1030.56,1042.42,1001.4,11.86,-29.16,21.4,41.02,4.096265,False,涨,low,5.753,1.151,low_confidence_decay,direction_guard_dampen,0.9745,1.0,0.366,0.0,0.595,trend_up,True
2026-05-13,2026-05-26,9,1030.56,1039.45,995.0,8.89,-35.56,21.0,44.45,4.467337,False,涨,low,4.314,0.863,low_confidence_decay,direction_guard_dampen,0.9526,1.0,0.366,0.0,0.595,trend_up,True
2026-05-13,2026-05-27,10,1030.56,1041.79,983.56,11.23,-47.0,20.1,58.23,5.92033,False,涨,low,5.447,1.089,low_confidence_decay,direction_guard_dampen,0.9345,1.0,0.366,0.0,0.595,trend_up,True
2026-05-14,2026-05-25,7,1029.6,1027.77,1001.4,-1.83,-28.2,22.0,26.37,2.633313,True,跌,low,6.086,-0.177,bearish_guard,direction_guard_dampen,0.9738,-1.0,0.202,0.0,0.652,trend_down,True
2026-05-14,2026-05-26,8,1029.6,1027.65,995.0,-1.95,-34.6,21.3,32.65,3.281407,True,跌,low,6.919,-0.19,bearish_guard,direction_guard_dampen,0.9633,-1.0,0.202,0.0,0.652,trend_down,True
2026-05-14,2026-05-27,9,1029.6,1027.53,983.56,-2.07,-46.04,18.4,43.97,4.470495,True,跌,low,6.026,-0.201,bearish_guard,direction_guard_dampen,0.8844,-1.0,0.202,0.0,0.652,trend_down,True
2026-05-14,2026-05-28,10,1029.6,1027.42,961.18,-2.18,-68.42,16.0,66.24,6.891529,True,跌,low,7.12,-0.212,bearish_guard,direction_guard_dampen,0.8234,-1.0,0.202,0.0,0.652,trend_down,True
