周期,样本数,MAE(元/克),MAPE%,方向准确率%,平均信心度
T+1,7,7.39,0.72,85.7,50.5
T+2,8,11.99,1.17,87.5,41.7
T+3,9,14.89,1.45,77.8,44.7
T+4,10,25.19,2.46,40.0,43.4
T+5,11,22.75,2.23,54.5,37.3
T+6,12,23.53,2.32,41.7,30.0
T+7,13,26.61,2.62,23.1,23.6
T+8,14,24.95,2.47,42.9,28.3
T+9,15,24.49,2.43,46.7,27.8
T+10,16,26.62,2.64,50.0,22.3
