date,bear_close,base_close,bull_close,base_low,base_high,bull_driver,bear_driver,calendar_score,active_events
2026-04-06,1011.43,1035.73,1061.65,1015.06,1056.41,地缘风险,事件落地回吐,-0.168,"[{'event_name': 'USD Rebound Risk', 'event_type': 'macro', 'event_date': '2026-04-03', 'phase': 'post', 'pre_bias': 0.0, 'post_bias': -0.55, 'importance': 0.75, 'notes': 'Seed row for post-event dollar rebound / risk normalization pressure'}]"
2026-04-07,999.13,1041.08,1085.26,1002.17,1079.99,地缘风险,模型中枢下方波动,-0.124,"[{'event_name': 'USD Rebound Risk', 'event_type': 'macro', 'event_date': '2026-04-03', 'phase': 'post', 'pre_bias': 0.0, 'post_bias': -0.55, 'importance': 0.75, 'notes': 'Seed row for post-event dollar rebound / risk normalization pressure'}]"
2026-04-08,993.6,1043.73,1098.01,994.89,1092.57,地缘风险,模型中枢下方波动,0.029,"[{'event_name': 'US CPI Release Window', 'event_type': 'macro', 'event_date': '2026-04-10', 'phase': 'pre', 'pre_bias': 0.2, 'post_bias': -0.2, 'importance': 0.65, 'notes': 'Editable recurring macro example'}]"
2026-04-09,975.28,1037.53,1099.78,975.43,1099.64,地缘风险,模型中枢下方波动,0.061,"[{'event_name': 'US CPI Release Window', 'event_type': 'macro', 'event_date': '2026-04-10', 'phase': 'pre', 'pre_bias': 0.2, 'post_bias': -0.2, 'importance': 0.65, 'notes': 'Editable recurring macro example'}]"
2026-04-10,971.53,1033.54,1095.55,953.93,1113.16,地缘风险,模型中枢下方波动,0.13,"[{'event_name': 'US CPI Release Window', 'event_type': 'macro', 'event_date': '2026-04-10', 'phase': 'pre', 'pre_bias': 0.2, 'post_bias': -0.2, 'importance': 0.65, 'notes': 'Editable recurring macro example'}]"
