date,bear_close,base_close,bull_close,base_low,base_high,bull_driver,bear_driver,calendar_score,active_events
2026-04-01,1013.09,1034.52,1062.09,1014.71,1054.33,地缘风险、事件窗口前置,模型中枢下方波动,0.421,"[{'event_name': 'Middle East Risk Window', 'event_type': 'geopolitics', 'event_date': '2026-03-31', 'phase': 'post', 'pre_bias': 0.6, 'post_bias': -0.15, 'importance': 0.8, 'notes': 'Seed row for current geopolitical premium window'}, {'event_name': 'Tariff Decision Window', 'event_type': 'policy', 'event_date': '2026-04-02', 'phase': 'pre', 'pre_bias': 0.85, 'post_bias': -0.3, 'importance': 1.0, 'notes': 'Seed row for current scenario: event window before decision and sell-the-news after'}]"
2026-04-02,995.63,1033.66,1080.01,996.99,1070.34,地缘风险、事件窗口前置,模型中枢下方波动,0.776,"[{'event_name': 'Middle East Risk Window', 'event_type': 'geopolitics', 'event_date': '2026-03-31', 'phase': 'post', 'pre_bias': 0.6, 'post_bias': -0.15, 'importance': 0.8, 'notes': 'Seed row for current geopolitical premium window'}, {'event_name': 'Tariff Decision Window', 'event_type': 'policy', 'event_date': '2026-04-02', 'phase': 'pre', 'pre_bias': 0.85, 'post_bias': -0.3, 'importance': 1.0, 'notes': 'Seed row for current scenario: event window before decision and sell-the-news after'}]"
2026-04-03,974.87,1034.15,1086.52,987.13,1081.16,地缘风险,卖事实风险、事件落地回吐,-0.26,"[{'event_name': 'Middle East Risk Window', 'event_type': 'geopolitics', 'event_date': '2026-03-31', 'phase': 'post', 'pre_bias': 0.6, 'post_bias': -0.15, 'importance': 0.8, 'notes': 'Seed row for current geopolitical premium window'}, {'event_name': 'Tariff Decision Window', 'event_type': 'policy', 'event_date': '2026-04-02', 'phase': 'post', 'pre_bias': 0.85, 'post_bias': -0.3, 'importance': 1.0, 'notes': 'Seed row for current scenario: event window before decision and sell-the-news after'}, {'event_name': 'USD Rebound Risk', 'event_type': 'macro', 'event_date': '2026-04-03', 'phase': 'pre', 'pre_bias': 0.0, 'post_bias': -0.55, 'importance': 0.75, 'notes': 'Seed row for post-event dollar rebound / risk normalization pressure'}]"
