周期,样本数,MAE(元/克),MAPE%,方向准确率%,平均信心度
T+1,15,8.69,0.91,100.0,43.3
T+2,15,15.28,1.63,100.0,35.0
T+3,15,19.32,2.07,100.0,24.7
T+4,15,24.26,2.6,100.0,24.9
T+5,15,26.8,2.88,100.0,23.7
T+6,15,26.2,2.82,100.0,20.3
T+7,15,27.4,2.95,86.7,19.5
T+8,15,30.85,3.32,100.0,19.1
T+9,15,35.26,3.78,93.3,18.7
T+10,15,36.46,3.9,100.0,19.4
