周期,样本数,MAE(元/克),MAPE%,方向准确率%,平均信心度
T+1,19,8.83,0.92,100.0,40.4
T+2,19,15.27,1.62,100.0,33.4
T+3,19,18.0,1.92,100.0,25.3
T+4,19,22.04,2.35,100.0,26.9
T+5,19,23.38,2.5,100.0,24.9
T+6,19,23.06,2.47,100.0,20.8
T+7,19,26.23,2.8,89.5,19.9
T+8,19,30.44,3.24,100.0,19.5
T+9,19,35.5,3.76,94.7,18.8
T+10,19,37.6,3.98,100.0,19.2
