origin_date,target_date,horizon,origin_close,pred_close,actual_close,confidence,abs_error,ape_pct,dir_match,direction,regime,jump_regime_code,jump_signal,branch_used,branch_name
2026-03-24,2026-03-25,1,979.8,980.54,1013.96,69.1,33.42,3.295988,True,涨,high,0.0,0.761,True,trend_down
2026-03-24,2026-03-26,2,979.8,981.08,995.98,54.3,14.9,1.496014,True,涨,high,0.0,0.761,True,trend_down
2026-03-24,2026-03-27,3,979.8,978.84,998.66,46.6,19.82,1.984659,False,跌,high,0.0,0.761,True,trend_down
2026-03-24,2026-03-30,4,979.8,975.64,1014.88,38.5,39.24,3.866467,False,跌,high,0.0,0.761,True,trend_down
2026-03-24,2026-03-31,5,979.8,972.44,1020.1,17.9,47.66,4.672091,False,跌,high,0.0,0.761,True,trend_down
2026-03-25,2026-03-26,1,1013.96,1017.23,995.98,50.2,21.25,2.133577,False,涨,high,0.0,0.247,True,trend_up
2026-03-25,2026-03-27,2,1013.96,1011.88,998.66,40.4,13.22,1.323774,True,跌,high,0.0,0.247,True,trend_up
2026-03-25,2026-03-30,3,1013.96,1006.03,1014.88,28.2,8.85,0.872024,False,跌,high,0.0,0.247,True,trend_up
2026-03-25,2026-03-31,4,1013.96,1010.03,1020.1,28.6,10.07,0.987158,False,跌,high,0.0,0.247,True,trend_up
2026-03-25,2026-04-01,5,1013.96,1004.87,1053.18,29.8,48.31,4.58706,False,跌,high,0.0,0.247,True,trend_up
2026-03-26,2026-03-27,1,995.98,989.69,998.66,76.6,8.97,0.898204,False,跌,high,0.0,0.216,True,trend_down
2026-03-26,2026-03-30,2,995.98,990.15,1014.88,50.4,24.73,2.436741,False,跌,high,0.0,0.216,True,trend_down
2026-03-26,2026-03-31,3,995.98,992.48,1020.1,42.3,27.62,2.707578,False,跌,high,0.0,0.216,True,trend_down
2026-03-26,2026-04-01,4,995.98,995.93,1053.18,31.4,57.25,5.435918,False,平,high,0.0,0.216,True,trend_down
2026-03-26,2026-04-02,5,995.98,997.43,1023.78,34.4,26.35,2.573795,True,涨,high,0.0,0.216,True,trend_down
2026-03-27,2026-03-30,1,998.66,1005.59,1014.88,73.4,9.29,0.915379,True,涨,high,0.0,0.133,True,trend_up
2026-03-27,2026-03-31,2,998.66,1000.68,1020.1,52.4,19.42,1.903735,True,涨,high,0.0,0.133,True,trend_up
2026-03-27,2026-04-01,3,998.66,997.55,1053.18,38.1,55.63,5.282098,False,跌,high,0.0,0.133,True,trend_up
2026-03-27,2026-04-02,4,998.66,1003.75,1023.78,26.3,20.03,1.956475,True,涨,high,0.0,0.133,True,trend_up
2026-03-27,2026-04-03,5,998.66,1004.96,1033.0,16.5,28.04,2.714424,True,涨,high,0.0,0.133,True,trend_up
2026-03-30,2026-03-31,1,1014.88,1017.04,1020.1,80.7,3.06,0.299971,True,涨,high,0.0,0.432,True,trend_up
2026-03-30,2026-04-01,2,1014.88,1019.74,1053.18,40.3,33.44,3.175146,True,涨,high,0.0,0.432,True,trend_up
2026-03-30,2026-04-02,3,1014.88,1020.18,1023.78,40.4,3.6,0.351638,True,涨,high,0.0,0.432,True,trend_up
2026-03-30,2026-04-03,4,1014.88,1034.83,1033.0,48.5,1.83,0.177154,True,涨,high,0.0,0.432,True,trend_up
2026-03-30,2026-04-07,5,1014.88,1035.65,1034.28,17.1,1.37,0.132459,True,涨,high,0.0,0.432,True,trend_up
2026-03-31,2026-04-01,1,1020.1,1027.55,1053.18,79.9,25.63,2.433582,True,涨,high,0.0,0.548,True,trend_up
2026-03-31,2026-04-02,2,1020.1,1022.6,1023.78,68.1,1.18,0.115259,True,涨,high,0.0,0.548,True,trend_up
2026-03-31,2026-04-03,3,1020.1,1031.5,1033.0,51.0,1.5,0.145208,True,涨,high,0.0,0.548,True,trend_up
