周期,样本数,MAE(元/克),MAPE%,方向准确率%,平均信心度
T+1,15,9.98,1.04,80.0,43.8
T+2,15,18.78,1.98,53.3,39.1
T+3,15,22.06,2.33,40.0,33.9
T+4,15,31.47,3.32,40.0,34.3
T+5,15,32.08,3.4,46.7,28.4
T+6,15,28.64,3.06,60.0,22.0
T+7,15,30.8,3.28,60.0,21.0
T+8,15,34.04,3.61,60.0,19.7
T+9,15,37.85,4.0,53.3,19.1
T+10,15,40.51,4.27,60.0,19.0
