origin_date,target_date,horizon,origin_close,pred_close,actual_close,pred_delta,actual_delta,confidence,abs_error,ape_pct,dir_match,direction,regime,pre_guard_return_pct,pred_return_pct,direction_guard,confidence_guard,up_probability,trend_regime_code,trend_signal,jump_regime_code,jump_signal,branch_name,branch_used
2026-05-11,2026-05-25,10,1026.8,1024.47,1001.4,-2.33,-25.4,22.9,23.07,2.303775,True,跌,low,5.299,-0.227,bearish_guard,direction_guard_dampen,0.9937,-1.0,0.381,0.0,0.522,trend_down,True
2026-05-12,2026-05-25,9,1030.12,1028.05,1001.4,-2.07,-28.72,16.7,26.65,2.661274,True,跌,low,3.808,-0.201,long_low_confidence_fragility_guard,direction_guard_dampen,0.1836,0.0,0.198,0.0,0.609,normal,True
2026-05-12,2026-05-26,10,1030.12,1027.93,995.0,-2.19,-35.12,14.6,32.93,3.309548,True,跌,low,4.619,-0.212,long_low_confidence_fragility_guard,direction_guard_dampen,0.2355,0.0,0.198,0.0,0.609,normal,True
2026-05-13,2026-05-25,8,1030.56,1029.0,1001.4,-1.56,-29.16,21.4,27.6,2.756141,True,跌,low,5.753,-0.152,long_low_confidence_fragility_guard,direction_guard_dampen,0.9745,1.0,0.366,0.0,0.595,trend_up,True
2026-05-13,2026-05-26,9,1030.56,1028.9,995.0,-1.66,-35.56,21.0,33.9,3.407035,True,跌,low,4.314,-0.161,long_low_confidence_fragility_guard,direction_guard_dampen,0.9526,1.0,0.366,0.0,0.595,trend_up,True
2026-05-13,2026-05-27,10,1030.56,1028.81,983.56,-1.75,-47.0,20.1,45.25,4.600634,True,跌,low,5.447,-0.17,long_low_confidence_fragility_guard,direction_guard_dampen,0.9345,1.0,0.366,0.0,0.595,trend_up,True
2026-05-14,2026-05-25,7,1029.6,1027.77,1001.4,-1.83,-28.2,22.0,26.37,2.633313,True,跌,low,6.086,-0.177,bearish_guard,direction_guard_dampen,0.9738,-1.0,0.202,0.0,0.652,trend_down,True
2026-05-14,2026-05-26,8,1029.6,1027.65,995.0,-1.95,-34.6,21.3,32.65,3.281407,True,跌,low,6.919,-0.19,bearish_guard,direction_guard_dampen,0.9633,-1.0,0.202,0.0,0.652,trend_down,True
2026-05-14,2026-05-27,9,1029.6,1027.53,983.56,-2.07,-46.04,18.4,43.97,4.470495,True,跌,low,6.026,-0.201,bearish_guard,direction_guard_dampen,0.8844,-1.0,0.202,0.0,0.652,trend_down,True
2026-05-14,2026-05-28,10,1029.6,1027.42,961.18,-2.18,-68.42,16.0,66.24,6.891529,True,跌,low,7.12,-0.212,bearish_guard,direction_guard_dampen,0.8234,-1.0,0.202,0.0,0.652,trend_down,True
2026-05-15,2026-05-25,6,1004.38,1002.57,1001.4,-1.81,-2.98,17.5,1.17,0.116836,True,跌,low,5.896,-0.18,bearish_guard,direction_guard_dampen,0.8054,-1.0,0.526,0.0,0.693,trend_down,True
2026-05-15,2026-05-26,7,1004.38,1002.43,995.0,-1.95,-9.38,21.5,7.43,0.746734,True,跌,low,7.241,-0.194,bearish_guard,direction_guard_dampen,0.9677,-1.0,0.526,0.0,0.693,trend_down,True
2026-05-15,2026-05-27,8,1004.38,1002.29,983.56,-2.09,-20.82,20.2,18.73,1.904307,True,跌,low,5.672,-0.208,bearish_guard,direction_guard_dampen,0.9468,-1.0,0.526,0.0,0.693,trend_down,True
