周期,样本数,MAE(元/克),MAPE%,方向准确率%,平均信心度
T+1,4,11.65,1.18,100.0,44.0
T+2,4,12.22,1.24,50.0,43.8
T+3,4,9.23,0.94,25.0,32.0
T+4,4,12.18,1.24,50.0,33.9
T+5,4,12.03,1.22,50.0,28.3
T+6,4,15.2,1.54,25.0,20.8
T+7,4,14.78,1.5,0.0,20.9
T+8,4,10.71,1.09,50.0,20.6
T+9,4,13.83,1.41,50.0,20.9
T+10,4,10.9,1.11,100.0,20.9
