source,label,category,model_type,forecast_date,forecast_close,direction,confidence_pct,mape,direction_accuracy,history_rows,status,note
US_ETF,GLD Spot Proxy,spot_proxy,linear,2026-03-27 16:00,481.64,bullish,91.72,1.6665,40.0,581,ok,Daily result uses the exact 16:00 forecast bar.
US_ETF,GLD Spot Proxy,spot_proxy,linear,2026-03-28 16:00,530.24,bullish,89.01,1.6665,40.0,581,ok,Daily result uses the exact 16:00 forecast bar.
US_ETF,GLD Spot Proxy,spot_proxy,linear,2026-03-29 16:00,536.95,bullish,20.7,1.6665,40.0,581,ok,Daily result uses the exact 16:00 forecast bar.
US_ETF,GLD Spot Proxy,spot_proxy,linear,2026-03-30 16:00,484.2,bullish,84.76,1.6665,40.0,581,ok,Daily result uses the exact 16:00 forecast bar.
US_ETF,GLD Spot Proxy,spot_proxy,boosting,2026-03-26 16:00,424.08,bullish,20.77,2.5046,25.0,581,ok,Daily result uses the exact 16:00 forecast bar.
US_ETF,GLD Spot Proxy,spot_proxy,boosting,2026-03-27 16:00,424.85,bullish,87.37,2.5046,25.0,581,ok,Daily result uses the exact 16:00 forecast bar.
US_ETF,GLD Spot Proxy,spot_proxy,boosting,2026-03-28 16:00,413.25,bearish,76.12,2.5046,25.0,581,ok,Daily result uses the exact 16:00 forecast bar.
US_ETF,GLD Spot Proxy,spot_proxy,boosting,2026-03-29 16:00,396.79,bearish,83.89,2.5046,25.0,581,ok,Daily result uses the exact 16:00 forecast bar.
US_ETF,GLD Spot Proxy,spot_proxy,boosting,2026-03-30 16:00,398.57,bearish,18.61,2.5046,25.0,581,ok,Daily result uses the exact 16:00 forecast bar.
US_ETF,GLD Spot Proxy,spot_proxy,ensemble,2026-03-26 16:00,408.49,bearish,57.73,2.1112,30.79,581,ok,Daily result uses the exact 16:00 forecast bar.
US_ETF,GLD Spot Proxy,spot_proxy,ensemble,2026-03-27 16:00,407.72,bearish,34.42,2.1112,30.79,581,ok,Daily result uses the exact 16:00 forecast bar.
US_ETF,GLD Spot Proxy,spot_proxy,ensemble,2026-03-28 16:00,380.05,bearish,25.78,2.1112,30.79,581,ok,Daily result uses the exact 16:00 forecast bar.
US_ETF,GLD Spot Proxy,spot_proxy,ensemble,2026-03-29 16:00,360.6,bearish,22.5,2.1112,30.79,581,ok,Daily result uses the exact 16:00 forecast bar.
US_ETF,GLD Spot Proxy,spot_proxy,ensemble,2026-03-30 16:00,349.59,bearish,50.01,2.1112,30.79,581,ok,Daily result uses the exact 16:00 forecast bar.
