origin_date,target_date,horizon,origin_close,pred_close,actual_close,pred_delta,actual_delta,confidence,abs_error,ape_pct,dir_match,direction,regime,pre_guard_return_pct,pred_return_pct,direction_guard,confidence_guard,up_probability,trend_regime_code,trend_signal,jump_regime_code,jump_signal,branch_name,branch_used
2026-05-11,2026-05-25,10,1026.8,1024.47,1001.4,-2.33,-25.4,33.7,23.07,2.303775,True,跌,low,5.299,-0.227,bearish_guard,none,0.9937,-1.0,0.381,0.0,0.522,trend_down,True
2026-05-12,2026-05-25,9,1030.12,1037.97,1001.4,7.85,-28.72,24.5,36.57,3.651887,False,涨,low,3.808,0.762,low_confidence_decay,none,0.1836,0.0,0.198,0.0,0.609,normal,True
2026-05-12,2026-05-26,10,1030.12,1039.64,995.0,9.52,-35.12,21.5,44.64,4.486432,False,涨,low,4.619,0.924,low_confidence_decay,none,0.2355,0.0,0.198,0.0,0.609,normal,True
2026-05-13,2026-05-25,8,1030.56,1042.42,1001.4,11.86,-29.16,31.5,41.02,4.096265,False,涨,low,5.753,1.151,low_confidence_decay,none,0.9745,1.0,0.366,0.0,0.595,trend_up,True
2026-05-13,2026-05-26,9,1030.56,1039.45,995.0,8.89,-35.56,30.8,44.45,4.467337,False,涨,low,4.314,0.863,low_confidence_decay,none,0.9526,1.0,0.366,0.0,0.595,trend_up,True
2026-05-13,2026-05-27,10,1030.56,1041.79,983.56,11.23,-47.0,29.5,58.23,5.92033,False,涨,low,5.447,1.089,low_confidence_decay,none,0.9345,1.0,0.366,0.0,0.595,trend_up,True
2026-05-14,2026-05-25,7,1029.6,1027.77,1001.4,-1.83,-28.2,32.3,26.37,2.633313,True,跌,low,6.086,-0.177,bearish_guard,none,0.9738,-1.0,0.202,0.0,0.652,trend_down,True
2026-05-14,2026-05-26,8,1029.6,1027.65,995.0,-1.95,-34.6,31.4,32.65,3.281407,True,跌,low,6.919,-0.19,bearish_guard,none,0.9633,-1.0,0.202,0.0,0.652,trend_down,True
2026-05-14,2026-05-27,9,1029.6,1027.53,983.56,-2.07,-46.04,27.0,43.97,4.470495,True,跌,low,6.026,-0.201,bearish_guard,none,0.8844,-1.0,0.202,0.0,0.652,trend_down,True
2026-05-14,2026-05-28,10,1029.6,1027.42,961.18,-2.18,-68.42,23.6,66.24,6.891529,True,跌,low,7.12,-0.212,bearish_guard,none,0.8234,-1.0,0.202,0.0,0.652,trend_down,True
2026-05-15,2026-05-25,6,1004.38,1002.57,1001.4,-1.81,-2.98,25.7,1.17,0.116836,True,跌,low,5.896,-0.18,bearish_guard,none,0.8054,-1.0,0.526,0.0,0.693,trend_down,True
2026-05-15,2026-05-26,7,1004.38,1002.43,995.0,-1.95,-9.38,31.6,7.43,0.746734,True,跌,low,7.241,-0.194,bearish_guard,none,0.9677,-1.0,0.526,0.0,0.693,trend_down,True
2026-05-15,2026-05-27,8,1004.38,1002.29,983.56,-2.09,-20.82,29.7,18.73,1.904307,True,跌,low,5.672,-0.208,bearish_guard,none,0.9468,-1.0,0.526,0.0,0.693,trend_down,True
2026-05-15,2026-05-28,9,1004.38,1002.17,961.18,-2.21,-43.2,31.2,40.99,4.26455,True,跌,low,6.665,-0.22,bearish_guard,none,0.9773,-1.0,0.526,0.0,0.693,trend_down,True
2026-05-15,2026-05-29,10,1004.38,1002.05,989.4,-2.33,-14.98,31.6,12.65,1.278553,True,跌,low,6.365,-0.232,bearish_guard,none,0.9943,-1.0,0.526,0.0,0.693,trend_down,True
2026-05-18,2026-05-25,5,999.8,998.11,1001.4,-1.69,1.6,43.2,3.29,0.32854,False,跌,low,6.03,-0.169,bearish_guard,none,0.9928,-1.0,0.705,0.0,0.541,trend_down,True
2026-05-18,2026-05-26,6,999.8,997.95,995.0,-1.85,-4.8,35.4,2.95,0.296482,True,跌,low,6.108,-0.185,bearish_guard,none,0.9899,-1.0,0.705,0.0,0.541,trend_down,True
2026-05-18,2026-05-27,7,999.8,997.8,983.56,-2.0,-16.24,32.0,14.24,1.447802,True,跌,low,5.671,-0.2,bearish_guard,none,0.9854,-1.0,0.705,0.0,0.541,trend_down,True
2026-05-18,2026-05-28,8,999.8,997.66,961.18,-2.14,-38.62,31.3,36.48,3.795335,True,跌,low,5.597,-0.214,bearish_guard,none,0.9874,-1.0,0.705,0.0,0.541,trend_down,True
2026-05-18,2026-05-29,9,999.8,997.53,989.4,-2.27,-10.4,31.2,8.13,0.82171,True,跌,low,6.069,-0.227,bearish_guard,none,0.9853,-1.0,0.705,0.0,0.541,trend_down,True
2026-05-19,2026-05-25,4,1002.18,1035.63,1001.4,33.45,-0.78,52.7,34.23,3.418214,False,涨,low,3.338,3.338,none,none,0.988,0.0,0.18,0.0,0.735,normal,True
2026-05-19,2026-05-26,5,1002.18,1050.79,995.0,48.61,-7.18,42.8,55.79,5.607035,False,涨,low,4.85,4.85,none,none,0.9783,0.0,0.18,0.0,0.735,normal,True
2026-05-19,2026-05-27,6,1002.18,1000.53,983.56,-1.65,-18.62,34.8,16.97,1.725365,True,跌,low,4.269,-0.164,bearish_guard,none,0.9796,0.0,0.18,0.0,0.735,normal,True
2026-05-19,2026-05-28,7,1002.18,1000.4,961.18,-1.78,-41.0,29.7,39.22,4.080401,True,跌,low,3.857,-0.177,bearish_guard,none,0.9385,0.0,0.18,0.0,0.735,normal,True
2026-05-19,2026-05-29,8,1002.18,1000.28,989.4,-1.9,-12.78,30.5,10.88,1.099656,True,跌,low,2.63,-0.19,bearish_guard,none,0.9713,0.0,0.18,0.0,0.735,normal,True
2026-05-20,2026-05-25,3,986.64,999.66,1001.4,13.02,14.76,57.6,1.74,0.173757,True,涨,normal,4.434,1.552,near_bearish_decay,none,0.9668,-1.0,0.362,0.0,0.507,trend_down,True
2026-05-20,2026-05-26,4,986.64,1029.31,995.0,42.67,8.36,53.0,34.31,3.448241,True,涨,normal,5.088,5.088,none,none,0.9918,-1.0,0.362,0.0,0.507,trend_down,True
2026-05-20,2026-05-27,5,986.64,985.3,983.56,-1.34,-3.08,45.6,1.74,0.176908,True,跌,normal,7.429,-0.16,bearish_guard,none,0.9948,-1.0,0.362,0.0,0.507,trend_down,True
2026-05-20,2026-05-28,6,986.64,985.17,961.18,-1.47,-25.46,36.1,23.99,2.49589,True,跌,normal,6.884,-0.175,bearish_guard,none,0.9948,-1.0,0.362,0.0,0.507,trend_down,True
2026-05-20,2026-05-29,7,986.64,985.05,989.4,-1.59,2.76,32.2,4.35,0.43966,False,跌,normal,6.81,-0.189,bearish_guard,none,0.9885,-1.0,0.362,0.0,0.507,trend_down,True
2026-05-21,2026-05-25,2,995.38,1012.51,1001.4,17.13,6.02,57.9,11.11,1.109447,True,涨,normal,2.025,2.025,none,none,0.8716,0.0,0.181,0.0,0.476,normal,True
2026-05-21,2026-05-26,3,995.38,1013.07,995.0,17.69,-0.38,54.2,18.07,1.81608,False,涨,normal,2.091,2.091,none,none,0.9286,0.0,0.181,0.0,0.476,normal,True
2026-05-21,2026-05-27,4,995.38,1019.29,983.56,23.91,-11.82,51.7,35.73,3.632722,False,涨,normal,2.826,2.826,none,none,0.9833,0.0,0.181,0.0,0.476,normal,True
2026-05-21,2026-05-28,5,995.38,1018.94,961.18,23.56,-34.2,43.3,57.76,6.00928,False,涨,normal,2.784,2.784,none,none,0.9681,0.0,0.181,0.0,0.476,normal,True
2026-05-21,2026-05-29,6,995.38,1006.11,989.4,10.73,-5.98,36.4,16.71,1.688902,False,涨,normal,3.624,1.269,low_confidence_decay,none,0.9832,0.0,0.181,0.0,0.476,normal,True
2026-05-22,2026-05-25,1,995.76,1001.92,1001.4,6.16,5.64,46.0,0.52,0.051927,True,涨,normal,0.728,0.728,none,none,0.6709,1.0,0.361,0.0,0.597,trend_up,True
2026-05-22,2026-05-26,2,995.76,1008.59,995.0,12.83,-0.76,36.9,13.59,1.365829,False,涨,normal,1.516,1.516,none,none,0.3319,1.0,0.361,0.0,0.597,trend_up,True
2026-05-22,2026-05-27,3,995.76,1012.88,983.56,17.12,-12.2,27.5,29.32,2.981008,False,涨,normal,2.022,2.022,none,none,0.6422,1.0,0.361,0.0,0.597,trend_up,True
2026-05-22,2026-05-28,4,995.76,1019.49,961.18,23.73,-34.58,44.8,58.31,6.066502,False,涨,normal,2.804,2.804,none,none,0.8948,1.0,0.361,0.0,0.597,trend_up,True
2026-05-22,2026-05-29,5,995.76,1009.6,989.4,13.84,-6.36,42.6,20.2,2.041641,False,涨,normal,1.635,1.635,none,none,0.9658,1.0,0.361,0.0,0.597,trend_up,True
2026-05-25,2026-05-26,1,1001.4,999.9,995.0,-1.5,-6.4,48.4,4.9,0.492462,True,跌,normal,-0.176,-0.176,none,none,0.2986,1.0,0.579,0.0,0.704,trend_up,True
2026-05-25,2026-05-27,2,1001.4,1005.27,983.56,3.87,-17.84,28.5,21.71,2.207288,False,涨,normal,0.454,0.454,none,none,0.4166,1.0,0.579,0.0,0.704,trend_up,True
2026-05-25,2026-05-28,3,1001.4,1006.23,961.18,4.83,-40.22,21.5,45.05,4.686947,False,涨,normal,0.568,0.568,none,none,0.4343,1.0,0.579,0.0,0.704,trend_up,True
2026-05-25,2026-05-29,4,1001.4,1004.52,989.4,3.12,-12.0,24.5,15.12,1.528199,False,涨,normal,0.367,0.367,none,none,0.3614,1.0,0.579,0.0,0.704,trend_up,True
2026-05-26,2026-05-27,1,995.0,997.76,983.56,2.76,-11.44,48.9,14.2,1.443735,False,涨,normal,0.933,0.326,near_bearish_decay,none,0.2941,-1.0,0.207,0.0,0.569,trend_down,True
2026-05-26,2026-05-28,2,995.0,998.3,961.18,3.3,-33.82,56.7,37.12,3.86192,False,涨,normal,1.116,0.391,near_bearish_decay,none,0.8598,-1.0,0.207,0.0,0.569,trend_down,True
2026-05-26,2026-05-29,3,995.0,1001.06,989.4,6.06,-5.6,54.0,11.66,1.178492,False,涨,normal,2.048,0.717,near_bearish_decay,none,0.9517,-1.0,0.207,0.0,0.569,trend_down,True
2026-05-27,2026-05-28,1,983.56,982.72,961.18,-0.84,-22.38,51.4,21.54,2.240995,True,跌,normal,0.257,-0.1,short_structure_guard,none,0.2717,-1.0,0.433,0.0,0.718,trend_down,True
2026-05-27,2026-05-29,2,983.56,982.38,989.4,-1.18,5.84,57.1,7.02,0.709521,False,跌,normal,1.06,-0.141,short_structure_guard,none,0.8976,-1.0,0.433,0.0,0.718,trend_down,True
2026-05-28,2026-05-29,1,961.18,963.7,989.4,2.52,28.22,82.7,25.7,2.597534,True,涨,normal,0.309,0.309,capitulation_rebound_release,none,0.9964,-1.0,0.761,1.0,1.036,jump,True
